chunom,translation
𥪞茹𠊛質󰜋吝如𣑻,trong nhà người chật một lần như nêm
梅庄𢯏傷梗玉,mai chẳng bẻ thương cành ngọc
傷𢚸渃漢沛𦋦料𨉓,"thương lòng nước hán, phải ra liều mình"
及廷試問以知人安民,cập đình thí vấn dĩ tri nhân an dân
酌𣹕,chước rót
賖𣾺外准邊陲闍婆賊𤞦𢵋皮紛争,xa khơi ngoài chốn biên thùy. đồ bà giặc mọi đua bề phân tranh
䅘麥穭歛魯俱顛黄,lai mạch lúa sớm trổ câu đen vàng
玉花𨀈󰞘呈排,ngọc hoa bước xuống trình bày
𠀧𨑮𦒹酌酌,ba mươi sáu chước
壬戌二十九年漢文帝恒元年,"nhâm tuất, nhị thập cửu niên, hán văn đế hằng nguyên niên"
鴿蒲鴝,cáp bồ câu
媒強計日計寬,mụ càng kể nhặt kể khoan
朕㐌塟黎來扵󰮃殿蓝,trẫm đã táng lê lai ở trong đền lam
樑高𢫫虐𦀊寃,rường cao rút ngược dây oan
春𠫾春吏無穷盡,xuân đi xuân lại vô cùng tận
𡗶泣各式核,trời khắp các thức cây
󱉎劸懞狼茶糁迈歲命強弄娄,"sức khỏe muông lang. già tám mươi tuổi, mình càng sống lâu"
几簮𠊚𦑗乙堆,kẻ trâm người quạt ắt đôi
性涓啈哼落唐林尼,tính quen hễnh hãng lạc đường trăm nơi
金星各府󰀡𪞷陳陳,kim tinh các phủ vô ra rần rần
報令黎多蒲等将兵千餘人象一隻出攻新平順化等城招撫人民,"báo lệnh lê đa bồ đẳng tương binh thiên dư nhân, tượng nhất chích xuất công tân bình, thuận hoá đẳng thành, chiêu phủ nhân dân"
場屋𠀧秋枉某名,trường ốc ba thu uổng mỗ danh
𭛣萬󰑚女絲扜,việc vàn rối nữa tơ vò
二十八日右相黄廷爱領兵攻破右𨻫斬󰱐偽福郡公傳首詣京師,"nhị thập bát nhật, hữu tướng hoàng đình ái lĩnh binh công phá hữu lũng, trảm hoạch nguỵ phúc quận công, truyền thủ nghệ kinh sư"
上許之加陞國老太保參預朝政致仕〇,"thượng hứa chi, gia thăng quốc lão thái bảo tham dự triều chính trí sĩ"
扲蒸𪮏娘,cầm chưng tay nàng
户揚吏体引囚媼妑𠬠屡幽囚𠫾𪞷,họ dương lại thấy dẫn tù. ảo bà một lũ u sù đi ra
時蒸事疑箕󰓿禀強漊艮麻拯可𢶒丕,"thời chưng sự ngờ kia rễ bám càng sâu gắn, mà chẳng khả cởi vậy"
克終𡸈是龍王而歸𠧨也,khắc chung há thị long vương nhi quy cữu dã
娇群料坦別之,kiều còn liệu đất biết gì
分𫳵分簿如𪿙㐌停渃沚花㵢呂󰟯,phận sao phận bạc như vôi. đã đành nước chảy hoa trôi lỡ dường
𡽫渃群稽准有情,non nước còn ghe chốn hữu tình
國易取如奕棊妄覔蓬莪之骨,"quốc dị thủ như dịch kì, vọng mạch bồng nga chi cốt"
詫之朝意如空,sá chi chiều ý như không
博楊傕㐌傕耒𦹵𩄲漫沫𢢯𢢯𢚸些,"bác dương thôi đã thôi rồi. cỏ mây man mác, ngùi ngùi lòng ta"
抑政事鈌失而未能修󰁮󰊹将調爕失宜而致傷,ức chính sự khuyết thất nhi vị năng tu cử dư? tương điều nhiếp thất nghi nhi trí thương
象羣仃伶鬭初遺󰖽榮台驛呂瑰,tuồng còn rành rạnh dấu xưa doi. vẻ vang thay dịch lữ khôi
蜻蜓存存曳堆,thanh đình chuồn chuồn dài đuôi
固󰘚麻庒固𫩓固𠄩边嗫𦂯𦂯仍𣯡丐塘丐,có mặt mà chẳng có mồm. có hai bên mép xồm xồm những lông cái đường cái
咍布朱奴所対渴,hai vú cho no thửa đói khát
夏四月詔乂安清化等路浚舊港〇,"hạ tứ nguyệt, chiếu nghệ an, thanh hoá đẳng lộ tuấn cựu cảng"
春蘭秋菊漫麻奇𠄩,xuân lan thu cúc mặn mà cả hai
貉龍君之子也缺諱都峯州今白鶴縣是也,"lạc long quân chi tử dã khuyết huý, đô phong châu kim bạch hạc huyện thị dã"
至是命官襨考丁酉庚子癸卯三科生徒,"chí thị, mệnh quan phức khảo đinh dậu, canh tí, quý mão tam khoa sinh đồ"
埃𪟽㗂𪅦呌𫥨者湥傷春哭妸霜閨,ai ngờ tiếng cuốc kêu ra rả. giọt thương xuân khóc ả sương khuê
㐌𢚸君子多恾,đã lòng quân tử đa mang
㐌勾貧賎之交,đã câu bần tiện chi giao
易侯固呐吏󰠲𩈘𠏲埃侯鐐敢𢱖戈,dễ hầu có nói lại đâu. mặt thợ ai hầu rìu dám múa qua
𤿍奴芻仕䋦奴𨃐,vỏ nó xù xì múi nó dày
二月試吏員以書筭刑律,"nhị nguyệt, thí lại viên dĩ thư toán hình luật"
彦喁俗界󱋨願净方,"ngán ngùng tục giới, nức nguyền tịnh phương"
諫而不從脱簮珥謝罪可也,"gián nhi bất tòng, thoát trâm nhị tạ tội khả dã"
權而權已誅公羡矣,"quyền, nhi quyền dĩ tru công tiễn hĩ"
㗂𦝄花窖𫃚𠊚如空,tiếng trăng hoa khéo buộc người như không
㐌迻緣細閣藤,đã đưa duyên tới các đằng
自尼𧗱娄碎信忌共敬免󱉎主支秋,từ nay về sau tôi tin cậy cùng kính mến đức chúa chi thu
杶雪撫𡏧𪀄𠵎,"đụn tuyết phủ, bụi chim gù"
鞋從且道泣山川,hài thong thả dạo khắp sơn xuyên
旦欺省沒拙連嘆哿㗂浪於昆碎牢丑命共吒楼𢆥爫丕,"đến khi tỉnh một chút, liền than cả tiếng rằng ớ con tôi, sao giấu mình cùng cha lâu năm làm vậy"
庒柴牢𠋥爫𢧚,chẳng thầy sao mày làm nên
寡連𢬗粉點粧𤁕他咹默󰖽荣呐唭,"goá liền giồi phấn điểm trang. thướt tha ăn mặc, vẻ vang nói cười"
頭𧏵𡳪鳯黎妻務冬邑𠨡務󰭠𦬑𡥵羅𢩣橰,"đầu rồng đuôi phượng lê thê. mùa đông ấp trứng, mùa hè nở con là buồng cau"
渚涓退与模糊害民,chớ quen thói dữ mạc hồ hại dân
再有暫留宿直功與宿直同有官陛一級無官者除正九品,"tái hữu tạm lưu túc trực công dữ túc trực, đồng hữu quan bệ nhất cấp, vô quan giả trừ chánh cửu phẩm"
拯𦣰式曳裊𠀧更,chẳng nằm thức dậy nẻo ba canh
官陣連𠰺炪茹各柴哿於丕沛焒折,"quan giận, liền dạy đốt nhà các thầy cả ở, vậy phải lửa chết"
亇溪𠻴偈𪀄棱𦖑經,"cá khe lắng kệ, chim rừng nghe kinh"
尋復疑悔獨引還,"tầm phục nghi, hối độc dẫn hoàn"
心臟号󰑼果心曩迈咍两庄嫌固篭,tâm tạng hiệu là quả tim. nặng mười hai lạng chẳng hiềm có lông
嗚呼爲亂之極,ô hô vi loạn chi cực biến
󰜋茹森合竹枚,một nhà sum họp trúc mai
𦹵爫禫花爫幔坦爫氊,"cỏ làm đệm, hoa làm màn, đất làm chăn"
㝵自呂𨀈竜冬𡗶吹𠦳埮󰝡𢚸旦低,người từ lỡ bước long đong. trời xui ngàn dặm đem lòng đến đây
地震,địa chấn
十六日莫使敬典督莫氏諸親王及将佐兵十萬餘眾戰船七百艘侵掠清華,"thập lục nhật, mạc sử kính điển đốc mạc thị chư thân vương cập tướng tá binh thập vạn dư chúng, chiến thuyền thất bách sưu, xâm lược thanh hoa"
帝乃命作制詔表三題令潜彪等試事于鳳儀堂,"đế nãi mệnh tác chế, chiếu, biểu tam đề lệnh tiềm, bưu đẳng thí sự vu phụng nghi đường"
雖外唭𠹳仍冲𪧚,tuy ngoài cười cợt nhưng trong giữ
𫳘才𫳘命窖󰑼恄𠑬,chữ tài chữ mệnh khéo là ghét nhau
勑遣官中書相公先羅杜傑率羣臣調默襖朝,sắc khiến quan trung thư tướng công tên là đỗ kiệt suất quần thần đều mặc áo chầu
拒揆㵢󱚢冲𥯉魚家,cựa quậy trôi vào trong đó ngư gia
維翰維城無分中外,"duy hàn, duy thành, vô phân trung ngoại"
花𦹳嗷𠯪𦲿撑夷夷,hoa thơm ngào ngạt lá xanh dì dì
官清朋渃茹朋磬,"quan thanh bằng nước, nhà bằng khánh"
師它挴󰡮方車,sư đà hái thuốc phương xa
浪陽间𠀲士诚,rằng dương gian đứa sĩ thành
𠄩边坡𡏧𥯓𥯌,hai bên bờ bụi rậm rì
海海慈風拥性俗漏漏智月訴機禅,hẩy hẩy từ phong duồng tính dục. làu làu trí nguyệt tỏ cơ thiền
𨀈𦋦𠾺󰘚珠眉,bước ra thẹn mặt chau mày
各路縣社等係某人游手游足圍棊賭博官司及軍民捉告治罪,"các lộ huyện xã đẳng, hệ mỗ nhân du thủ du túc vi kì, đổ bác, quan ti cập quân dân tróc cáo trị tội"
叔母󰑼嬸蔑𢚸正專,thúc mẫu là thím một lòng chính chuyên
功詔山南各處貟人於蕉園處安寕安謨奉化家遠等縣預從義師并從諸營有官賞五資無官者饒軍色倣如前聽󰰻例輸番習藝宿直,"công chiếu sơn nam các xứ viên nhân ư tiêu viên xứ yên ninh, yên mô, phụng hoá, gia viễn đẳng huyện dự tòng nghĩa sư tịnh tòng chư dinh hữu quan thưởng ngũ tư, vô quan giả nhiêu quân sắc phỏng như tiền thính bát lệ thâu phiên tập nghệ túc trực"
時常祀用太常樂惟行遣得之審刑止用齋内祭天覰賜太常祀盖時恩寵遇不下於行遣也史臣吳士連曰小人之用心也見利則進害則,"thời thường tự dụng thái thường nhạc duy hành khiển đắc chi, thẩm hình chỉ dụng trai nội tế thiên thứ tứ thái thường tự cái thời ân sủng ngộ bất hạ ư hành khiển dã. sử thần ngô sĩ liên viết tiểu nhân chi dụng tâm dã, kiến lợi tắc tiến hại tắc"
哭嘆澤󰬭𡹞,khóc than đầu trạch cuối ghềnh
戊辰五年元致和元年九月以後文宗圖帖睦爾大曆元年春三月殺國父上宰國瑱,"mậu thìn ngũ niên, nguyên trí hoà nguyên niên cửu nguyệt dĩ hậu, văn tông đồ thiếp mục nhĩ đại lịch nguyên niên, xuân tam nguyệt, sát quốc phụ thượng tể quốc chẩn"
題柱橛旦曾句対才,đề trụ cột dán từng câu đối dài
符驅法󱁲拯沛𥪝事職,bùa khua phép đuổi chẳng phải trong sự chức
几𫯳群妬猪猪󰠃𠊛恪㐌𨃉䟻情喠,kẻ chồng còn đó trơ trơ. cùng người khác đã đợi chờ tình chung
固𦎛麻底边𠇮拯𤐝,có gương mà để bên mình chẳng soi
智髙降,trí cao hàng
命道士禳蝗蟲,mệnh đạo sĩ nhương hoàng trùng
創兵永几摳椎楳,sáng banh vắng kẻ khua dùi mõ
媒宦姐娓𮗓緣,"mụ hoạn thư, vãi giác duyên"
撅坦炪香讀經,quét đất đốt hương
浪𥪞作合機𡗶,rằng trong tác hợp cơ trời
他如陳元旦乃同姓之卿之贒者也雖含忠憤之氣而付國勢於無可奈何避相位之權而欲全家属於顛沛之後張漢超乃文學之臣之尤者也,tha như trần nguyên đán nãi đồng tính chi khanh chi hiền giả dã tuy hàm trung phẫn chi khí nhi phó quốc thế ư vô khả nại hà tị tướng vị chi quyền nhi dục toàn gia thuộc ư điên phái chi hậu trương hán siêu nãi văn học chi thần chi vưu giả dã
定贖罪錢有差,định thục tội tiền hữu sai
班店㝵默襖弹翁麻底㪯茹共每事連𪠞旦茹各柴於,"ban đêm người mặc áo đàn ông mà để cửa nhà cùng mọi sự, liền đi đến nhà các thầy ở"
焒𤈜渚覩油𠓨,lửa cháy chớ đổ dầu vào
祗候局首杜克終趍進曰臣卑賤不才請行帝喜之曰安識盐車有此騏驥,"chi hậu, cục thủ đỗ khắc chung xu tiến viết thần ti tiện bất tài, thỉnh hành đế hỉ chi, viết an thức diêm xa hữu thử kì kí"
渚女𫀅朋客細過,chớ nỡ xem bằng khách tới qua
冬十月以後,"đông, thập nguyệt dĩ hậu"
故上而仁宗稱其孝下而明宗遵其法治底文明俗臻福庶非治效本於身脩家齊歟雖詩書所稱又何加焉,cố thượng nhi nhân tông xưng kì hiếu hạ nhi minh tông tuân kì pháp trị để văn minh tục trăn phúc thứ phi trị hiệu bản ư thân tu gia tề dư tuy thi thư sở xưng hựu hà gia yên
冬十月大熟,đông thập nguyệt đại thục
事臣等紏得前太師紹國公黎廣度於端慶洪順之年包藏禍心濁亂天下,"sự thần đẳng củ đắc tiền thái sư thiệu quốc công lê quảng độ ư đoan khánh, hồng thuận chi niên, bao tàng hoạ tâm, trọc loạn thiên hạ"
𡨌𪰛䲋打𫪹軍𠀧𠀧𪰛撟双韻𬷊𫾑,giữa thì thia đánh trống quân. ba ba thì kéo song vần cò que
險旭權庄突吝,hiểm hóc quyền chăng đụt lặn
養育朱𢧚奇𢀲坤,dưỡng dục cho nên cả lớn khôn
郡公永福槊山人鄭公䏻爲宣郡公頼世榮爲和郡公,"quận công, vĩnh phúc sóc sơn nhân, trịnh công năng vi tuyên quận công, lại thế vinh vi hoà quận công"
𡄎歐𠊛󰀎寶尼𫽄緣渚易𠓨𢬣埃擒,gẫm âu người ấy báu này. chẳng duyên chưa dễ vào tay ai cầm
𭛁京師次臨西道克之,"phát kinh sư thứ lâm tây đạo, khắc chi"
意泣拂旗嘹𡅫小咍算卜𥺊此舂柴,ấy rắp phất cờ trêu ghẹo tiểu. hay toan bốc gạo thử thung thầy
隔𩈘渃鼎當󰋇發,cách mặt nước đỉnh đang mấy phát
寔富貴荣培分,thực phú quý vinh bội phần
秋八月二十一日上皇迎皇子暭即皇帝位改元紹豊元年,"thu bát nguyệt, nhị thập nhất nhật, thượng hoàng nghênh hoàng tử hạo tức hoàng đế vị, cải nguyên thiệu phong nguyên niên"
𧵆厨𧵆景些修郭󰘇佛觥𢆥産襖𫌌,gần chùa gần cảnh ta tu quách. cửa phật quanh năm sẵn áo sồng
𬰢日,mặt nhật kia ôi
𠰺𠳒方便堆塘𠳐𠳒矯怑𢚸鐄󰠱傷,dạy lời phương tiện đôi đường. vâng lời kẻo bợn lòng vàng nặng thương
唒北南𧯶𪾋辞𮥷,dẫu bắc nam há dám từ nan
隊㤙𡗶坦别包,đội ơn trời đất biết bao
󰌎香別古刼尼女催,lửa hương biết có kiếp này nữa thôi?
役枚付底𡗶停,việc may phó để trời dành
愚讀英宗之編見其改過不吝事親惟謹睦族以悌尊先祖先姊為帝為后遣遠慎終皆得其道其家足法而人法之,ngu độc anh tông chi biên kiến kì cải quá bất lận sự thân duy cẩn mục tộc dĩ đễ tôn tiên tổ tiên tỉ vi đế vi hậu khiến viễn thận chung giai đắc kì đạo kì gia túc pháp nhi nhân pháp chi
明山壽遣阮任等三人來通信,minh sơn thọ khiển nguyễn nhậm đẳng tam nhân lai thông tin
占城使臣逋沙破貪卒等𭁈阮有光偕來命司㓂黎刻復納言阮夢荀詰占城使以弑君之罪,"chiêm thành sứ thần bô sa phá tham tốt đẳng dữ nguyễn hữu quang giai lai mệnh tư khấu lê khắc phục, nạp ngôn nguyễn mộng tuân cật chiêm thành sứ dĩ thí quân chi tội"
𧵑󱋉𠊚羅𧵑群,của thết người là của còn
禁官員及百等不得私臧占城人,cấm quan viên cập bách đẳng bất đắc tư tàng chiêm thành nhân
然東宫正殿朕猶居之宜扵殿側繕作新宫并建儲冊宣儀禮節文其令有司檡日行之,"nhiên đông cung chính điện trẫm do cư chi, nghi ư điện trắc thiện tác tân cung, tịnh kiến trừ sách, tuyên nghi lễ tiết văn, kì lệnh hữu ti trạch nhật hành chi"
𫥨𠓨小𡛔朗盧竜玲𬑉𥆁醝師𠰘唭,"ra vào tiểu gái lẳng lơ. long lanh mắt liếc, say sưa miệng cười"
偽信王起兵㨿武崖使偽寕國公将兵拒戦于太原,"nguỵ tín vương khuyết danh khởi binh cứ vũ nhai, sử nguỵ ninh quốc công khuyết danh tương binh cự chiến vu thái nguyên"
六科審駮百司六寺承行庶務,"lục khoa thẩm bác bách ti, lục tự thừa hành thứ vụ"
大越史記外紀全書卷之一,đại việt sử ký ngoại kỷ toàn thư quyển chi nhất
船𫵈群掉拯肯杜,thuyền mọn còn chèo chăng khứng đỗ
獅子翁端𬌥柴佑𡂰檀越歛舍迎昂,"sư tử ông đoan, trâu thầy hựu. răn đàn việt lượm xá nghênh ngang"
𠃣蔑之蒸𨎠㯲花𦖑勒亟固㗂𢫈𬮌,ít một giây chưng trước khóm hoa nghe lạch cạch có tiếng gõ cửa
深濕身朋𢭗北國殿髙,thân bằng nương bắc quốc điện cao
核意實𤍌象悶爫神象丕為,"cây ấy thực thiêng, tuồng muốn làm thần tượng vậy vay"
𢀭仍𧵑自然意,giàu những của tự nhiên ấy
㝵𣋁顛,ngày tối đen
公輔曰王者不嚴武備無以重威靈,công phụ viết vương giả bất nghiêm vũ bị vô dĩ trọng uy linh
吝蹺𡶀假𠫾妄,lần theo núi giả đi vòng
瓊𠖰寔𣌋,quỳnh dậy thật sớm
𡶀南山高位位昆𤞺特𪠞𬂆𬂆,núi nam sơn cao vọi vọi. con cáo đực đi lặng lặng
帝使宣郡公鄭公䏻捧詔書召之金乃整飭部伍刻日就道拜謁于義路江行在,"đế sử tuyên quận công trịnh công năng phủng chiếu thư triệu chi, kim nãi chỉnh sức bộ ngũ khắc nhật tựu đạo bái yết vu nghĩa lộ giang hành tại"
責𢚸哬𠾿貝𢚸焒香,trách lòng hờ hững với lòng
是年京北太原諒山等處干戈擾動,"thị niên, kinh bắc, thái nguyên, lạng sơn đẳng xứ can qua nhiễu động"
帝曰柄納俸錢誠然朕苟不受是陷柄於僞故受以顯柄之無僞也,đế viết bính nạp bổng tiền thành nhiên trẫm câu bất thụ thị hãm bính ư nguỵ cố thụ dĩ hiển bính chi vô nguỵ dã
拖刀立産斫用,đà đao sắp sẵn chước dùng
功名斐志丈夫甘情,"công danh phỉ chí, trượng phu cam tình"
本鄕人杜英翰計率眾圍府,"bản hương nhân đỗ anh hàn kế, suất chúng vi phủ"
仍󰑼唅咀𠸂嘆,những là ngâm thở giột than
夏四月元世祖平江南遣合散兒海牙,"hạ tứ nguyệt, nguyên thế tổ bình giang nam, khiến hợp tán nhi hải nha"
用浪姅於姅𧗱樂鐄兜㐌㗂𦖑𧵆𧵆,dùng dằng nửa ở nửa về. nhạc vàng đâu đã tiếng nghe gần gần
鬚𫙂,tu râu
竹痴󰇽兎絲𣳔泛鸾,trúc se ngón thỏ tơ chùng phím loan
拮特坦淮朋炪𬖅鴻,cất được đất hoài bằng đốt lông hồng
冬十月遣使如明,"đông thập nguyệt, khiển sứ như minh"
魚謹𠫾𥽤枚𫼻特轉,"ngớ ngẩn đi xia, may vớ được"
群𢘾量𣷭傷排󰅹庄,còn nhờ lượng bể thương bài nào chăng
掩昆󰝡𠓨,ẵm con đem vào rừng
𥙩欺潭蔭蒲欺冷渚課枯乾固課𩆍,lấy khi đầm ấm bù khi lạnh. chữa thuở khô khan có thuở rào
𣻆珠隊陣紆絲𤾓妄,tuôn châu đòi trận vò tơ trăm vòng
有名于時然而宗正大卿黎居仁嘗目為村毬脚盖村人蹴毬多不中以比漢超料理多不當也,"hữu danh vu thời, nhiên nhi tông chính đại khanh lê cư nhân thường mục vi thôn cầu cước, cái thôn nhân xúc cầu đa bất trúng, dĩ tỉ hán siêu liệu lí đa bất đương dã"
英𠫾穭𣜾𢺹𥢬,anh đi lúa chửa chia vè
闭𫢩永仍渴嗃,bấy nay vắng những khát khao
󱬟仙𨢇𢯰滶滶寬寬歌曲毛毛𬋩絃,"cờ tiên rượu rót ào ào. khoan khoan ca khúc, mau mau quản huyền"
提澄縣錫氷沔𣾼𨖅,đè chừng huyện tích băng miền vượt sang
禁朝官不得徃來王侯家在禁中不得結會三五人話談非議違者罪之,"cấm triều quan bất đắc vãng lai vương hầu gia, tại cấm trung bất đắc kết hội tam ngũ nhân thoại đàm phi nghị, vi giả tội chi"
帝乃命弘裕𭁈莫登庸,đế nãi mệnh hoằng dụ dữ mạc đăng dung
及干家变𨔍󰟯,gặp cơn gia biến lạ dường
𪀄疑弓𨉠𠸒饒𠖤,"chim ngờ cung bắn, bảo nhau bay"
裩襠󰑼𧚢弹󰜏,côn đương là xống đàn bà
𦠆𦝄,sụn lưng
庒戈連襘𠬠𣇞夢春,chẳng qua trên gối một giờ mộng xuân
咋搜税󰠱尋唐𠫾修,"sợ sưu thuế nặng, tìm đường đi tu"
𬦢𬧆特󰅹,chẳng mon men được nào
外󰘂行宮𦹵𤋵油,ngoài cửa hành cung cỏ dãi dầu
体徐群𥪸𡨌𡗶猪猪,thấy từ còn đứng giữa trời trơ trơ
故有是命〇,cố hữu thị mệnh
番薯芌良,phiên thự khoai lang
𰿘㗂籟調永,muôn tiếng lại đều vắng
吁噅㗂鄭巖𦖻鳯凰,"vu vơ tiếng chịch, nhàm tai phượng hoàng"
蓮湖伯黎文福告急于莫登庸,liên hồ bá lê văn phúc cáo cấp vu mạc đăng dung
暴歐如𤢿孟歐,bạo âu như sói
体𬏓㝵形樣脿󰞯𡁚,thấy vài người hình dạng béo lớn
柴𧡊𤤰説感𣋀禪宗指保濕髙事𢚸,thầy thấy vua thốt cảm sao. thiền tông chỉ bảo thấp cao sự lòng
󰜋茹扽擛令停抉𡑝達逴𣳮瓶𤏧香,"một nhà dọn dẹp linh đình. quét sân, đặt trác, rửa bình, thắp hương"
自篤而竭力尽智朕亦為卿上賞之,"tự đốc nhi kiệt lực tận trí, trẫm diệc vi khanh thượng thưởng chi"
茹香高捲幅羅,nhà hương cao cuốn bức là
福𡗶造化羣腰奔𠃣礼󰬥埃几拯傷,phúc trời tạo hoá còn yêu. buôn ít lãi nhiều ai kẻ chẳng thương
四章賜之,tứ chương tứ chi
衣,y
王不謹夫婦之端釀國家之乱無足稱者,"vương bất cẩn phu phụ chi đoan, nhưỡng quốc gia chi loạn, vô túc xưng giả"
封文璧駙驥郎,phong văn bích phò ký lang
東十月遣使如明海西道同知阮叔惠審刑院僉知杜時曄謝賜冠服,"đông thập nguyệt, khiển sứ như minh hải tây đạo đồng tri nguyễn thúc huệ, thẩm hình viện thiêm tri đỗ thì việp tạ tứ quan phục"
味󰵐,vị mặn
𣈙朕投佛出家,rày trẫm đầu phật thập giới
遣特轉哢犯諱時可丕,khiến được chuyển lọng phạm húy thời khả vậy
𫏙坡滝汝箕,noi bờ sông nhữ kia
至琢𣖖鯨淹吏𢶸啉嗂長曷点拱㧅,chí chát chày kình ôm lại đấm. lầm rầm tràng hạt đếm cùng đeo
𠻆㝵顛泊𦋦𢚸𦝄花,giận người đen bạc ra lòng trăng hoa
𡥵𡗶𥙩𠀲𤛇𤛠拱煩,con trời lấy đứa chăn trâu cũng phiền
𫎇之言也,mông chi ngôn dã
𨅹𨕭核𣘓採花,trèo lên cây bưởi hái hoa
蟡愁𠳭𫪎頭梗添傷,ve sầu khắc khoải đầu cành thêm thương
󰜋茹扽擛令停抉𡑝達逴𣳮瓶𤏧香,"một nhà dọn dẹp linh đình. quét sân, đặt trác, rửa bình, thắp hương"
鐄緗錦󱤀󰟯幀,vàng tương gấm vẽ dường tranh
仍英䧺𭂑女,những anh hùng thục nữ
導蕩平,đạo đãng bình
戊午五年明正統二年],mậu ngọ ngũ niên minh chính thống nhị niên
散霜㐌体䏾㝵,tan sương đã thấy bóng người
三月試天下士人,"tam nguyệt, thí thiên hạ sĩ nhân"
班店㝵默襖弹翁麻底㪯茹共每事連𪠞旦茹各柴於,"ban đêm người mặc áo đàn ông mà để cửa nhà cùng mọi sự, liền đi đến nhà các thầy ở"
小童咀𠼋嘆𨱽𫯝牢𫯝𦬑負才𠊚𣦍,tiểu đồng thở vắn than dài. trời sao trời nỡ phụ tài người ngay
於許錢𨨲摸𢅄𨁡㘨󰅹𡍙意窖印皮,ờ hở tiền chì mua vải nối. nồi nào vung ấy khéo in vừa
路󰑼𠯦𠻵扱𢷹𠬠𠳒殺竟朋𠦳檑双,lọ là thét mắng cặp rèn. một lời sát cạnh bằng nghìn roi song
妾時𧗱房𡳵照𧜖,thiếp thì về buồng cũ chiếu chăn
是月太傅鄭杜進兵攻太原通化感化地方,"thị nguyệt, thái phó trịnh đỗ tiến binh công thái nguyên, thông hoá, cảm hoá địa phương"
舉得其人者議加奬賞如見或負所薦肆爲貪墨許先陳言免其連坐,"cử đắc kì nhân giả nghị gia tưởng thưởng, như kiến hoặc phụ sở tiến tứ vi tham mặc hứa tiên trần ngôn miễn kì liên toạ"
𡗋𠊚𡗉𧵑𤎔𠁀㗂,lắm người nhiều của rạng đời tiếng
哏𪮀𢬣朱動𢚸𡥵,cắn ngón tay cho động lòng con
玉搊󰬮卒輸味𠯪,"ngọc so vẻ tốt, thua mùi ngát"
降封帝為恭王與皇太后鄭氏幽于西内宮,giáng phong đế vi cung vương dữ hoàng thái hậu trịnh thị u vu tây nội cung
課㐱倘鳩渚昆礼於工弄媄,"thuở chín tháng cưu chửa, con trẻ ở trong lòng mẹ"
将則御以恩威使将咸樂爲用愛民則省其征役使民皆遂有生,tướng tắc ngự dĩ ân uy sử tướng hàm lạc vi dụng ái dân tắc tỉnh kì chinh dịch sử dân giai toại hữu sinh
見王欣笑語趍拜曰郎君安得若此必聖人也,"kiến vương hân tiếu ngữ, xu bái viết lang quân an đắc nhược thử, tất thánh nhân dã"
夜三皷四面夾攻縱火焚城外房室煙燄涨天,"dạ tam cổ tứ diện giáp công, túng hoả phần thành ngoại phòng thất yên diễm trướng thiên"
太子智奇平󰅒,thái tử trí cả bằng nay
謝𢚸娘吏綏添𢽼𠳒,tạ lòng nàng lại nối thêm vài lời
逴碎戈妬定皮宜家,rước tôi qua đó định bề nghi gia
吟𠿯󱪦景家鄕㐌篇𡃛汝篇吟愁,"ngậm ngùi trông cảnh gia hương. đã thiên ngợi nhớ, lại thiên ngâm sầu"
尊上皇曰章堯文哲太上,tôn thượng hoàng viết chương nghiêu văn triết thái thượng
𨅸吏凭蹎辰罕特,đứng lại vững chân thì hẳn được
丁巳八年宋天禧元年,"đinh tị, bát niên, tống thiên hi nguyên niên"
勿払𠖈妬𢯏𠫾𠬠𨃝,vật chàng xuống đó bẻ đi một giò
娘浪𠸗斈史經,nàng rằng xưa học sử kinh
拱𫨩𣞊𣙸如𡥵𦟋𦢞,sôn sốt như con bòi lõ
𬌓𢚸傷汝別󰑼󰡏𢢯,tấm lòng thương nhớ biết là có nguôi
彼阮倦奸邪餘孽反覆,"bỉ nguyễn quyện gian tà dư nghiệt, phản phúc"
揞󱚣𫺶𠦳秋駭底待蔑𣈜甘旨吏衝,ôm bọc giận ngàn thu hãy để. đợi một ngày cam chỉ lại xong
福𧵑終𪰛祸𧵑終稔𪰛祸塊福𧗱共,phúc của chung thời họa của chung. nẫm thời họa khỏi phúc về cùng
擃𫯳爫乱麻𣈙蹺吒,"nống chồng làm loạn, mà rày theo cha"
𤽗本好邏𢧚疾󰅒制盃𨤔堵匪課平生,"ngươi vốn hiếu lạ nên tật, nay chơi vui vẻ đủ phỉ thuở bình sinh"
二十二日繼天聖節,"nhị thập nhị nhật, kế thiên thánh tiết"
詔文武臣僚商議時政得失即散去非額水陸廵司凣十三處如正大廵慕周廵之類人心悅喜,"chiếu văn vũ thần liêu thương nghị thời chính đắc thất tức tán khứ phi ngạch thuỷ lục tuần ti phàm thập tam xứ như chính đại tuần, mộ chu tuần chi loại, nhân tâm duyệt hỉ"
㝵几圭,làm người kẻ quê
㐌扜渃浊吏運󱧃苫,đã vo nước đục lại vần than rơm
吀𪭟𫔳𦖑碎教𪔠,xin ngỏ cửa nghe tôi giáo trống
哭浪寃酷爲些,khóc rằng oan khốc vì ta
嫩既死天下㱕于一〇,"nộn ký tử, thiên hạ quy vu nhất"
