ocr_char,syllable,n_rows,n_pages,n_books,tiers,char_in_dict,dict_readings_of_char,n_dict_chars_for_syllable,dict_chars_for_syllable,similar_hit,gold_count,verdict,true_char,sample_images
司,vua,7,5,1,SYLLABLE,True,sư ti ty tí tơ tư tứ từ tự,15,君 噖 𠀹 𠁈 𠱩 𠱭 𠱰 𠺞 𢁨 𢂜 𢃊 𤤰 𪻟 𪼀 󰯯,,13,,,syllable/stt2_page_0172_c04_074.png syllable/stt2_page_0180_c06_110.png syllable/stt2_page_0270_c09_196.png syllable/stt2_page_0322_c05_080.png syllable/stt2_page_0322_c09_153.png
喂,ra,7,7,3,SYLLABLE,True,còn gũi gọi gỏi hoay hoáy hôi hỏi khoái khoải oi uy,37,    𱜂 出 加 囉 囖 威 廾 歯 羅 群 蔞 𠚢 𦉼 𦋦 𪜀 𪞷,,0,,,syllable/stt2_page_0218_c04_072.png syllable/stt4_page_0280_c09_190.png syllable/stt11_page_0026_c08_159.png syllable/stt11_page_0114_c05_084.png syllable/stt11_page_0190_c05_103.png
腐,mà,7,7,1,SYLLABLE,True,hủ phũ phụ phủ,21, 傌 嘛 女 痳 罵 菻 蔴 調 駡 高 麻 默 𢠩 𢳀 𣻕 𦋻 𦓡 𦲬 󱰷,,0,,,syllable/stt11_page_0136_c05_097.png syllable/stt11_page_0160_c09_169.png syllable/stt11_page_0164_c07_147.png syllable/stt11_page_0194_c08_160.png syllable/stt11_page_0280_c05_094.png
姻,thịt,7,7,3,SYLLABLE,True,nhân,8, 舌 䏦 𠯑 𡶀 𢀛 𦧘 𬚸,,0,,,syllable/stt2_page_0110_c06_105.png syllable/stt2_page_0202_c01_004.png syllable/stt2_page_0216_c03_040.png syllable/stt2_page_0326_c04_063.png syllable/stt4_page_0202_c01_016.png
良,một,7,7,1,SYLLABLE,True,lang lăng lương,37,        𱥺 刎 圽 堆 墓 更 歾 歿 殁 殳 沒 没,,0,,,syllable/stt11_page_0062_c02_027.png syllable/stt11_page_0098_c03_045.png syllable/stt11_page_0104_c05_074.png syllable/stt11_page_0112_c09_180.png syllable/stt11_page_0156_c02_029.png
喁,ra,7,7,2,SYLLABLE,True,ngu ngung ngông ngùng ngọng ngụ ngụm ngủm ngủng vu,37,    𱜂 出 加 囉 囖 威 廾 歯 羅 群 蔞 𠚢 𦉼 𦋦 𪜀 𪞷,,0,,,syllable/stt2_page_0026_c07_131.png syllable/stt2_page_0056_c02_030.png syllable/stt2_page_0086_c05_096.png syllable/stt2_page_0114_c08_151.png syllable/stt2_page_0162_c02_031.png
婉,em,7,6,1,SYLLABLE,True,uyển uốn,16,俺 奄 腌 英 醃 骯 㛪 𠲖 𦛞 𦜽 𦞴 𦟩 𨉚 𫸽 讒 𡅩,,0,,,syllable/stt2_page_0020_c05_088.png syllable/stt2_page_0022_c01_012.png syllable/stt2_page_0022_c04_077.png syllable/stt2_page_0082_c03_056.png syllable/stt2_page_0114_c07_133.png
窀,xuống,7,5,1,SYLLABLE,True,truân đồn,17, 下 笹 𠁑 𠖈 𡬈 𨑜 𪧍 𫳭 𫴋 𬕹 𬺗 󰞘 󰡎 󱚏 󱟫 󱪞,笹,0,,,syllable/stt11_page_0114_c04_077.png syllable/stt11_page_0114_c09_173.png syllable/stt11_page_0118_c02_025.png syllable/stt11_page_0214_c08_151.png syllable/stt11_page_0214_c08_162.png
咄,hai,7,7,1,SYLLABLE,True,chối dối dốt nốt rút sụt xót đoát đốt,18, 侼 台 咍 怡 檯 瓵 臺 邰 颱 鮐 㣍 𠄩 𠄽 𠘭 𡐬 𪱜 󰀘,,0,,,syllable/stt2_page_0028_c06_130.png syllable/stt2_page_0088_c09_173.png syllable/stt2_page_0092_c01_009.png syllable/stt2_page_0156_c01_013.png syllable/stt2_page_0168_c03_051.png
媿,khỏi,7,7,1,SYLLABLE,True,quí quý sú xú xũ xấu xổ ý,3, 塊 瑰,,0,,,syllable/stt4_page_0024_c09_194.png syllable/stt4_page_0072_c03_037.png syllable/stt4_page_0150_c06_129.png syllable/stt4_page_0176_c02_026.png syllable/stt4_page_0196_c09_178.png
仏,ấy,7,7,2,SYLLABLE,True,phất phật,32,𱍸 乙 倚 噫 娎 帝 悥 意 憶 椅 衣 衤 𠂎 𠋣 𠶷 𢡃 𧘇 𪬫 𫢚 󰀎,,0,,,syllable/stt2_page_0234_c03_055.png syllable/stt2_page_0238_c08_147.png syllable/stt2_page_0284_c08_132.png syllable/stt11_page_0140_c02_032.png syllable/stt11_page_0170_c07_083.png
𭺾,là,7,7,2,SYLLABLE,False,,31,  𱺵 卥 号 囉 容 廾 時 浪 纙 罗 羅 買 邏 㼈 𢌬 𦉼 𦋝 𦌴,,0,,,syllable/stt2_page_0016_c05_090.png syllable/stt2_page_0056_c09_181.png syllable/stt2_page_0068_c04_072.png syllable/stt2_page_0134_c01_017.png syllable/stt2_page_0172_c01_015.png
斧,ông,7,6,2,SYLLABLE,True,buá bía búa phu phủ,17, 嗡 東 王 翁 蓊 螉 鶲 䈵 𣸜 𩔚 𪂔 𪪳 󰎰 塕 滃 鹟,,0,,,syllable/stt2_page_0062_c05_102.png syllable/stt2_page_0116_c08_142.png syllable/stt2_page_0116_c08_144.png syllable/stt2_page_0124_c02_029.png syllable/stt2_page_0170_c07_128.png
暮,trăm,7,7,2,SYLLABLE,True,mò mộ,10,啉 婪 林 炧 百 𠵂 𤾓 𬃴 󰭖 󱦏,,0,,,syllable/stt2_page_0080_c01_007.png syllable/stt2_page_0114_c08_160.png syllable/stt2_page_0268_c07_119.png syllable/stt4_page_0086_c09_174.png syllable/stt4_page_0120_c09_177.png
𦥷,ra,7,7,1,SYLLABLE,True,hên hăng hưng hứng,37,    𱜂 出 加 囉 囖 威 廾 歯 羅 群 蔞 𠚢 𦉼 𦋦 𪜀 𪞷,,0,,,syllable/stt11_page_0058_c01_010.png syllable/stt11_page_0072_c05_101.png syllable/stt11_page_0092_c03_046.png syllable/stt11_page_0226_c01_005.png syllable/stt11_page_0250_c09_190.png
閑,mọn,7,6,2,SYLLABLE,True,gián hèn nhàn nhèn nhờn ươn,14,悶 闷 㥃 㦖 𡭜 𡮆 𡮉 𡮬 𡮮 𨳒 𫵈 𬠬 𮤭 󰃃,悶 𨳒,24,,,syllable/stt2_page_0046_c04_078.png syllable/stt2_page_0046_c09_177.png syllable/stt11_page_0020_c03_035.png syllable/stt11_page_0022_c08_163.png syllable/stt11_page_0024_c06_122.png
皮,một,7,7,1,SYLLABLE,True,bè bê bì bìa bầy bề bị bờ bừa da kịp lại,37,        𱥺 刎 圽 堆 墓 更 歾 歿 殁 殳 沒 没,殳,66,,,syllable/stt4_page_0024_c08_164.png syllable/stt4_page_0032_c08_139.png syllable/stt4_page_0070_c07_139.png syllable/stt4_page_0142_c04_074.png syllable/stt4_page_0238_c05_097.png
定,đem,7,7,1,SYLLABLE,True,đính đĩnh định đựng,28,   冘 剾 抌 眈 耽 躭 酖 鴆 𢲠 𨈔 𨈠 𨈦 𨈨 𨊍 𨊗 𨑴 𨑻,𨑴,0,,,syllable/stt4_page_0042_c09_188.png syllable/stt4_page_0064_c08_168.png syllable/stt4_page_0080_c07_142.png syllable/stt4_page_0152_c03_058.png syllable/stt4_page_0246_c08_164.png
冊,là,6,5,2,SYLLABLE,True,rách sách,31,  𱺵 卥 号 囉 容 廾 時 浪 纙 罗 羅 買 邏 㼈 𢌬 𦉼 𦋝 𦌴,,4,,,syllable/stt2_page_0012_c08_136.png syllable/stt2_page_0062_c03_043.png syllable/stt2_page_0062_c03_047.png syllable/stt2_page_0274_c06_108.png syllable/stt2_page_0286_c06_105.png
六,làm,6,6,2,SYLLABLE,True,lóc lúc lộc lục lụt trọc,17, 乄 滥 漤 濫 灠 爪 爫 藍 㕚 𣩂 𣽦 𪵯 𫜵 𬈋 󰥎 󱛝,,1,,,syllable/stt2_page_0018_c06_118.png syllable/stt2_page_0060_c06_125.png syllable/stt2_page_0068_c04_082.png syllable/stt2_page_0088_c05_098.png syllable/stt2_page_0208_c01_019.png
則,gần,6,6,2,SYLLABLE,True,trắc tấc tất tắc,17,媑 斤 觔 賒 賖 近 釿 䤺 𠧣 𢆌 𣂠 𣥍 𣥪 𧣊 𧵆 𫶾 󱮅,,1,,,syllable/stt2_page_0196_c01_001.png syllable/stt2_page_0202_c02_033.png syllable/stt2_page_0298_c09_165.png syllable/stt4_page_0078_c03_054.png syllable/stt4_page_0174_c06_118.png
𬼜,đã,6,6,2,SYLLABLE,False,,16,乑 也 卒 吏 吔 它 拖 易 胣 諸 陀 㐌 𠰹 𢒕 𣦁 𧭷,,0,,,syllable/stt2_page_0058_c08_164.png syllable/stt2_page_0062_c08_153.png syllable/stt4_page_0042_c07_135.png syllable/stt4_page_0096_c08_168.png syllable/stt4_page_0150_c01_007.png
卧,buộc,6,6,3,SYLLABLE,True,ngọa,20,僕 卜 幞 扑 揊 撲 擈 攴 縛 纀 襆 㩧 𢪗 𢭠 𢯜 𢷏 𥾾 𦂿 𦄾 𫃚,,0,,,syllable/stt2_page_0076_c09_179.png syllable/stt2_page_0182_c04_061.png syllable/stt4_page_0086_c07_141.png syllable/stt4_page_0132_c07_103.png syllable/stt4_page_0280_c08_161.png
衡,đức,6,5,1,SYLLABLE,True,hoành hành,21, 𱐩 𱝮 徳 德 恴 悳 惪 㤫 㥀 㥁 䙷 𢛳 𢜖 𢠀 𢤊 𨗌 𨗤 𭲖 󰆙,,0,,,syllable/stt2_page_0022_c02_032.png syllable/stt2_page_0048_c07_119.png syllable/stt2_page_0066_c02_031.png syllable/stt2_page_0088_c06_112.png syllable/stt2_page_0088_c08_149.png
𥓓,tôi,6,5,2,SYLLABLE,True,bi bia bây bấy bịa,17,倅 晬 淬 焠 熣 的 睟 砕 碎 㳃 𠗚 𣅢 𤏣 𤭢 𪝬 𫇈 𫬮,,4,,,syllable/stt2_page_0174_c08_152.png syllable/stt2_page_0192_c01_017.png syllable/stt2_page_0226_c09_167.png syllable/stt11_page_0102_c07_142.png syllable/stt11_page_0102_c08_162.png
佃,đền,6,5,2,SYLLABLE,True,ruộng điền,16,伸 嗔 填 壂 搷 殿 田 畑 笌 𡊰 𡑴 𣪍 𣫕 𪽛 󱦦 󱨵,田,0,,,syllable/stt2_page_0116_c03_049.png syllable/stt2_page_0120_c09_178.png syllable/stt11_page_0020_c03_039.png syllable/stt11_page_0020_c03_056.png syllable/stt11_page_0130_c09_158.png
駐,sống,6,6,2,SYLLABLE,True,trú trọ,18,弄 生 銃 𠸙 𤯨 𤯩 𦡠 𧚠 𩀳 𩩇 𩩖 𪁇 𪟤 𫪹 𬴑 𮌱 󱝙 󱨱,,0,,,syllable/stt2_page_0076_c09_173.png syllable/stt2_page_0322_c02_035.png syllable/stt11_page_0176_c06_129.png syllable/stt11_page_0220_c07_151.png syllable/stt11_page_0236_c01_017.png
雜,sống,6,6,1,SYLLABLE,True,chạp tạp tọp xạp địch,18,弄 生 銃 𠸙 𤯨 𤯩 𦡠 𧚠 𩀳 𩩇 𩩖 𪁇 𪟤 𫪹 𬴑 𮌱 󱝙 󱨱,𩀳,0,,,syllable/stt11_page_0028_c09_185.png syllable/stt11_page_0044_c02_039.png syllable/stt11_page_0222_c06_109.png syllable/stt11_page_0236_c02_022.png syllable/stt11_page_0268_c04_077.png
閤,gian,6,6,2,SYLLABLE,True,các cáp cóp gác góp gộp hạp họp hợp,32, 𱽇 囏 奸 姦 姧 攔 瞷 肝 艰 艱 菅 葌 蕑 蕳 襇 襕 閒 間 间,,0,,,syllable/stt2_page_0292_c04_075.png syllable/stt4_page_0020_c06_123.png syllable/stt4_page_0090_c05_108.png syllable/stt4_page_0202_c05_097.png syllable/stt4_page_0270_c02_034.png
褒,mẹ,6,6,2,SYLLABLE,True,bao bầu,9,姆 媄 憽 毋 母 美 袄 那 㜫,,0,,,syllable/stt2_page_0220_c03_052.png syllable/stt2_page_0252_c08_119.png syllable/stt4_page_0038_c04_076.png syllable/stt4_page_0094_c07_136.png syllable/stt4_page_0100_c02_039.png
兔,đem,6,5,1,SYLLABLE,True,tho thò thỏ thố xỏ đồ,28,   冘 剾 抌 眈 耽 躭 酖 鴆 𢲠 𨈔 𨈠 𨈦 𨈨 𨊍 𨊗 𨑴 𨑻,,0,,,syllable/stt2_page_0026_c03_053.png syllable/stt2_page_0026_c03_059.png syllable/stt2_page_0040_c05_103.png syllable/stt2_page_0052_c07_137.png syllable/stt2_page_0118_c05_097.png
辟,chước,6,6,2,SYLLABLE,True,bách bích bế bễ phích thí thịch tích tị tịch tỵ vếch,56,剢 勺 妁 彴 所 捉 斫 斮 斲 斵 斸 杓 櫡 汋 灼 焯 燋 的 硳 禚,,1,,,syllable/stt4_page_0020_c01_008.png syllable/stt4_page_0074_c07_130.png syllable/stt4_page_0092_c07_126.png syllable/stt4_page_0168_c09_181.png syllable/stt4_page_0270_c08_167.png
召,chiu,6,6,2,SYLLABLE,True,chiêu chẹo chịu gieo giẹo khịu nghẹo thiệt thiệu thẹo trao triệu,8,佋 巶 招 昭 炤 照 𠶅 𢱐,招 昭 照,189,,,syllable/stt2_page_0170_c04_069.png syllable/stt2_page_0200_c03_047.png syllable/stt2_page_0310_c05_080.png syllable/stt11_page_0026_c06_112.png syllable/stt11_page_0180_c07_135.png
肃,le,6,6,1,SYLLABLE,True,khiếu túc,15,囄 离 藜 離 魑 黎 䅻 𠲥 𠻗 𨾫 𩀌 𪅆 𫤡 󰌑 󱪏,,0,,,syllable/stt4_page_0012_c07_131.png syllable/stt4_page_0020_c08_168.png syllable/stt4_page_0190_c01_020.png syllable/stt4_page_0226_c02_028.png syllable/stt4_page_0256_c03_050.png
斾,phải,6,6,2,SYLLABLE,True,bái,30,仕 伂 塊 折 拜 拝 朝 沛 派 芾 霈 㳈 𡴬 𢪙 𢫶 𢮠 𢰛 𢱭 𢳎 𢴽,,0,,,syllable/stt2_page_0094_c01_011.png syllable/stt2_page_0104_c06_107.png syllable/stt2_page_0108_c01_021.png syllable/stt2_page_0156_c05_088.png syllable/stt4_page_0098_c06_124.png
呫,lo,6,6,2,SYLLABLE,True,chem chiêm chiếp chém chím chòm chõm chùm chúm chễm chỉm chởm,18,ㇶ   𱞋 剗 卢 嚧 廬 慮 盧 𠰷 𠽓 𢗼 𢥈 󱡙 󱳮 椋 硥,,0,,,syllable/stt2_page_0102_c06_114.png syllable/stt11_page_0046_c08_135.png syllable/stt11_page_0210_c03_054.png syllable/stt11_page_0238_c05_096.png syllable/stt11_page_0250_c06_138.png
嬢,mẹ,6,5,2,SYLLABLE,True,nương,9,姆 媄 憽 毋 母 美 袄 那 㜫,,0,,,syllable/stt2_page_0132_c03_043.png syllable/stt2_page_0174_c06_107.png syllable/stt2_page_0186_c02_021.png syllable/stt2_page_0186_c05_091.png syllable/stt2_page_0254_c03_039.png
欲,hết,6,5,1,SYLLABLE,True,dượt dục giục rục uc,23,侭 儘 別 哈 喝 尽 欱 歇 盡 竭 結 遏 䀆 𠿒 𡀽 𡁁 𣍊 𥁞 𥃞 𧗁,,0,,,syllable/stt4_page_0014_c06_122.png syllable/stt4_page_0242_c05_096.png syllable/stt4_page_0282_c07_139.png syllable/stt4_page_0282_c07_143.png syllable/stt4_page_0290_c08_163.png
沼,rửa,6,6,1,SYLLABLE,True,chiểu cháu chĩu chậu trẻo xẻo,10, 洗 瀉 𣳮 𣷱 𤀗 𤂩 𪡉 𫼴 󱧢,,0,,,syllable/stt11_page_0020_c08_155.png syllable/stt11_page_0102_c04_080.png syllable/stt11_page_0114_c02_028.png syllable/stt11_page_0216_c01_012.png syllable/stt11_page_0254_c05_090.png
次,khi,6,6,1,SYLLABLE,True,khứa thư thớ thứ thứa tư,31,倛 僛 吱 唭 娸 崎 徛 攲 敧 期 机 桤 榿 欹 欺 浪 猗 觭 諆 踦,,32,,,syllable/stt11_page_0080_c08_148.png syllable/stt11_page_0088_c07_157.png syllable/stt11_page_0142_c08_168.png syllable/stt11_page_0146_c03_046.png syllable/stt11_page_0160_c09_174.png
滋,nước,6,6,2,SYLLABLE,True,tư,13, 匿 國 娘 搩 於 渃 珠 箸 著 𣋐 𣥧 𫭔,,0,,,syllable/stt2_page_0236_c07_119.png syllable/stt11_page_0078_c01_008.png syllable/stt11_page_0104_c03_034.png syllable/stt11_page_0178_c07_137.png syllable/stt11_page_0198_c03_058.png
庶,mà,6,6,2,SYLLABLE,True,dà già khứa thớ thứ thứa thừa xứa,21, 傌 嘛 女 痳 罵 菻 蔴 調 駡 高 麻 默 𢠩 𢳀 𣻕 𦋻 𦓡 𦲬 󱰷,,0,,,syllable/stt4_page_0266_c09_168.png syllable/stt4_page_0276_c08_158.png syllable/stt11_page_0114_c04_076.png syllable/stt11_page_0124_c02_039.png syllable/stt11_page_0164_c02_025.png
小,làm,6,6,2,SYLLABLE,True,bé tiểu tĩu tẻo,17, 乄 滥 漤 濫 灠 爪 爫 藍 㕚 𣩂 𣽦 𪵯 𫜵 𬈋 󰥎 󱛝,乄,0,,,syllable/stt2_page_0026_c01_018.png syllable/stt2_page_0150_c02_032.png syllable/stt2_page_0162_c02_036.png syllable/stt2_page_0164_c05_066.png syllable/stt2_page_0176_c04_063.png
畨,u,6,6,3,SYLLABLE,True,bên phan phen phiên phên,33,𱐍 凼 吁 呦 唹 嗚 坳 幽 怮 歍 泑 牝 紆 纡 蚴 麀 黝 黟 㗀 𠫬,,0,,,syllable/stt2_page_0022_c06_110.png syllable/stt2_page_0080_c03_051.png syllable/stt4_page_0166_c07_148.png syllable/stt4_page_0206_c01_006.png syllable/stt11_page_0214_c05_090.png
弓,chịu,6,6,2,SYLLABLE,True,cong cung củng,8,受 召 邵 𠮥 𠮦 𠹾 𠺥 𥃝,,0,,,syllable/stt4_page_0042_c06_120.png syllable/stt4_page_0052_c01_013.png syllable/stt4_page_0114_c07_138.png syllable/stt4_page_0220_c05_086.png syllable/stt11_page_0080_c06_113.png
晦,hỏi,6,6,3,SYLLABLE,True,hói hối hổi,13,哙 喂 嗨 噲 坙 每 磊 誨 𠳨 𫊹 󰢽 󰭃 󱛵,每,0,,,syllable/stt2_page_0024_c09_201.png syllable/stt2_page_0032_c04_079.png syllable/stt4_page_0080_c07_145.png syllable/stt11_page_0050_c01_014.png syllable/stt11_page_0096_c03_050.png
矢,đức,6,5,1,SYLLABLE,True,binh thi thẻ thỉ tẻ,21, 𱐩 𱝮 徳 德 恴 悳 惪 㤫 㥀 㥁 䙷 𢛳 𢜖 𢠀 𢤊 𨗌 𨗤 𭲖 󰆙,,1,,,syllable/stt2_page_0026_c08_150.png syllable/stt2_page_0082_c02_040.png syllable/stt2_page_0082_c03_063.png syllable/stt2_page_0098_c01_004.png syllable/stt2_page_0108_c02_031.png
止,chảy,6,6,1,SYLLABLE,True,chi chích chải chẻ chỉ nhảy,4,汜 沚 洔 𬈰,,1,,,syllable/stt4_page_0084_c04_085.png syllable/stt4_page_0162_c07_150.png syllable/stt4_page_0170_c03_050.png syllable/stt4_page_0172_c07_168.png syllable/stt4_page_0202_c05_087.png
㢴,rày,6,6,1,SYLLABLE,True,trù tây,14,例 拖 沃 㓇 𠳒 𡂲 𣈙 𣵽 𦰚 𪰬 𬀰 󰉨 󰎾 󱤘,,0,,,syllable/stt4_page_0038_c09_194.png syllable/stt4_page_0042_c01_015.png syllable/stt4_page_0192_c02_025.png syllable/stt4_page_0250_c03_031.png syllable/stt4_page_0264_c06_114.png
姑,gô,6,6,2,SYLLABLE,True,co cua cô go o,2,𦁿 𪂯,,39,,,syllable/stt4_page_0012_c06_111.png syllable/stt11_page_0022_c04_074.png syllable/stt11_page_0142_c07_131.png syllable/stt11_page_0146_c01_004.png syllable/stt11_page_0156_c08_176.png
憂,một,6,6,2,SYLLABLE,True,âu ưu,37,        𱥺 刎 圽 堆 墓 更 歾 歿 殁 殳 沒 没,,0,,,syllable/stt2_page_0054_c07_118.png syllable/stt2_page_0280_c04_080.png syllable/stt2_page_0282_c06_112.png syllable/stt2_page_0288_c06_106.png syllable/stt2_page_0302_c02_031.png
攵,ấy,6,6,1,SYLLABLE,True,phác phốc phộc truy,32,𱍸 乙 倚 噫 娎 帝 悥 意 憶 椅 衣 衤 𠂎 𠋣 𠶷 𢡃 𧘇 𪬫 𫢚 󰀎,,0,,,syllable/stt11_page_0118_c02_022.png syllable/stt11_page_0148_c09_185.png syllable/stt11_page_0188_c08_167.png syllable/stt11_page_0202_c01_002.png syllable/stt11_page_0228_c08_169.png
嗜,và,6,6,2,SYLLABLE,True,kì kỳ thị,17,叵 吧 和 喡 巴 為 頗 𠄧 𡂄 𡝕 𢯓 𢯠 𢽼 𣀟 𩑼 𪽡 𬏓,,0,,,syllable/stt2_page_0068_c01_002.png syllable/stt2_page_0074_c09_174.png syllable/stt2_page_0128_c03_058.png syllable/stt2_page_0140_c05_076.png syllable/stt2_page_0258_c03_040.png
慎,xin,6,6,2,SYLLABLE,True,thận,8,吀 吒 嗔 填 真 謓 㥲 𡃑,嗔 填 真,0,,,syllable/stt4_page_0034_c04_084.png syllable/stt4_page_0048_c07_133.png syllable/stt4_page_0066_c04_086.png syllable/stt4_page_0232_c05_089.png syllable/stt11_page_0088_c03_069.png
紫,và,6,6,2,SYLLABLE,True,tia tía tử,17,叵 吧 和 喡 巴 為 頗 𠄧 𡂄 𡝕 𢯓 𢯠 𢽼 𣀟 𩑼 𪽡 𬏓,,0,,,syllable/stt2_page_0262_c01_008.png syllable/stt2_page_0296_c04_066.png syllable/stt11_page_0026_c09_186.png syllable/stt11_page_0036_c05_101.png syllable/stt11_page_0072_c05_102.png
𫊫,tao,5,5,3,SYLLABLE,False,,66, 傮 幍 慅 慒 掻 搔 曹 溞 糙 糟 繅 繰 缫 缲 臊 艘 蚤 蹧 遭,,0,,,syllable/stt2_page_0060_c07_145.png syllable/stt2_page_0202_c09_159.png syllable/stt4_page_0054_c06_114.png syllable/stt11_page_0136_c01_016.png syllable/stt11_page_0192_c04_081.png
𡻕,một,5,5,1,SYLLABLE,True,tuế tuổi,37,        𱥺 刎 圽 堆 墓 更 歾 歿 殁 殳 沒 没,,9,,,syllable/stt4_page_0120_c07_135.png syllable/stt4_page_0126_c02_024.png syllable/stt4_page_0130_c07_138.png syllable/stt4_page_0204_c02_039.png syllable/stt4_page_0282_c03_048.png
忌,cây,5,5,3,SYLLABLE,True,cạy cậy cữ kiêng kí ký kị kỵ,7,夛 核 炥 荄 覈 𣘃 𣝗,,26,,,syllable/stt2_page_0064_c09_168.png syllable/stt2_page_0264_c02_039.png syllable/stt4_page_0038_c04_067.png syllable/stt4_page_0054_c03_055.png syllable/stt11_page_0086_c04_061.png
𮎛,vào,5,5,1,SYLLABLE,False,,28,侟 入 冲 包 旦 桃 爫 瓢 皮 込 㼼 𠓨 𠬱 𠰎 𡰻 𣪉 𤕉 𤬟 𤬡 𤬢,,0,,,syllable/stt2_page_0042_c01_001.png syllable/stt2_page_0062_c03_051.png syllable/stt2_page_0104_c06_114.png syllable/stt2_page_0122_c07_139.png syllable/stt2_page_0158_c01_014.png
麦,lâu,5,4,1,SYLLABLE,True,mạch,82,偻 僂 剅 喽 嘍 塿 娄 婁 屚 廔 慺 憻 搂 摟 楼 樓 氀 溇 漊 漏,,0,,,syllable/stt4_page_0036_c02_038.png syllable/stt4_page_0036_c03_063.png syllable/stt4_page_0042_c07_136.png syllable/stt4_page_0074_c04_078.png syllable/stt4_page_0172_c07_158.png
捲,tám,5,5,1,SYLLABLE,True,cuốn cuộn en quyền quyển quyện quén quấn quẹn quện yền yển,23,  三 俕 参 涁 渗 滲 爑 籸 糁 糂 糝 糣 䊏 𠔭 𥹪 𥹾 𥻕 𥼾,,0,,,syllable/stt4_page_0050_c08_139.png syllable/stt4_page_0086_c09_177.png syllable/stt4_page_0148_c07_137.png syllable/stt4_page_0186_c08_153.png syllable/stt4_page_0196_c02_020.png
众,làm,5,5,2,SYLLABLE,True,chúng với,17, 乄 滥 漤 濫 灠 爪 爫 藍 㕚 𣩂 𣽦 𪵯 𫜵 𬈋 󰥎 󱛝,,6,,,syllable/stt4_page_0218_c07_130.png syllable/stt11_page_0096_c07_131.png syllable/stt11_page_0148_c07_139.png syllable/stt11_page_0170_c07_066.png syllable/stt11_page_0270_c06_125.png
店,vì,5,5,1,SYLLABLE,True,diếm tiệm xóm điếm điệm đám đêm,7,位 為 爲 𠸠 𡸏 𦥮 󰩄,,47,,,syllable/stt2_page_0044_c05_098.png syllable/stt2_page_0056_c07_144.png syllable/stt2_page_0116_c02_028.png syllable/stt2_page_0170_c04_070.png syllable/stt2_page_0180_c09_166.png
仗,việc,5,5,1,SYLLABLE,True,dượng trượng,12,  𱥺 伇 役 沒 𠈧 𠈿 𭛣 󰒴 󰜄 󱮓,,0,,,syllable/stt4_page_0136_c06_120.png syllable/stt4_page_0140_c06_117.png syllable/stt4_page_0142_c07_141.png syllable/stt4_page_0174_c02_046.png syllable/stt4_page_0304_c07_153.png
久,ấy,5,5,1,SYLLABLE,True,cứu cửu,32,𱍸 乙 倚 噫 娎 帝 悥 意 憶 椅 衣 衤 𠂎 𠋣 𠶷 𢡃 𧘇 𪬫 𫢚 󰀎,,0,,,syllable/stt11_page_0072_c03_048.png syllable/stt11_page_0118_c01_012.png syllable/stt11_page_0132_c05_102.png syllable/stt11_page_0216_c04_069.png syllable/stt11_page_0254_c04_077.png
𭔃,cả,5,5,1,SYLLABLE,True,ghé,11,仍 哿 垰 奇 架 竒 𠵲 𪥘 󱝝 󱝮 󱼓,,0,,,syllable/stt11_page_0032_c09_181.png syllable/stt11_page_0036_c08_150.png syllable/stt11_page_0052_c03_049.png syllable/stt11_page_0156_c04_077.png syllable/stt11_page_0262_c05_081.png
𢌞,vua,5,5,1,SYLLABLE,True,hòi hùi hồi,15,君 噖 𠀹 𠁈 𠱩 𠱭 𠱰 𠺞 𢁨 𢂜 𢃊 𤤰 𪻟 𪼀 󰯯,,0,,,syllable/stt2_page_0230_c02_021.png syllable/stt2_page_0236_c08_137.png syllable/stt2_page_0250_c03_054.png syllable/stt2_page_0284_c02_024.png syllable/stt2_page_0318_c08_154.png
庻,mà,5,5,2,SYLLABLE,True,thứ thừa xứa,21, 傌 嘛 女 痳 罵 菻 蔴 調 駡 高 麻 默 𢠩 𢳀 𣻕 𦋻 𦓡 𦲬 󱰷,,0,,,syllable/stt4_page_0278_c02_040.png syllable/stt11_page_0146_c04_078.png syllable/stt11_page_0158_c09_189.png syllable/stt11_page_0210_c04_082.png syllable/stt11_page_0270_c08_173.png
𣱵,văng,5,5,2,SYLLABLE,True,viếng vánh vênh vĩnh vảnh vắng vẳng vểnh,18,仌 冫 冰 凝 挷 搒 栄 榮 氷 永 滎 荣 邦 㨲 㩞 𠡋 𣲝 󰠓,,32,,,syllable/stt2_page_0086_c04_072.png syllable/stt11_page_0026_c01_019.png syllable/stt11_page_0148_c05_102.png syllable/stt11_page_0154_c05_093.png syllable/stt11_page_0208_c07_149.png
丞,trời,5,5,1,SYLLABLE,True,chưng chẩng chẳng chặn chặng chửng chững giẩng thừa xửng,13, 俼 天 旹 𠅜 𠳒 𡗶 𢚸 𣈗 𫯝 𫶸 󱞿 沈,,0,,,syllable/stt11_page_0010_c07_124.png syllable/stt11_page_0140_c01_016.png syllable/stt11_page_0236_c03_046.png syllable/stt11_page_0254_c05_095.png syllable/stt11_page_0296_c07_128.png
廿,là,5,4,1,SYLLABLE,True,chấp củng nhập niềm niệm núm trấp trập,31,  𱺵 卥 号 囉 容 廾 時 浪 纙 罗 羅 買 邏 㼈 𢌬 𦉼 𦋝 𦌴,,0,,,syllable/stt11_page_0218_c03_051.png syllable/stt11_page_0246_c07_143.png syllable/stt11_page_0250_c04_088.png syllable/stt11_page_0250_c05_111.png syllable/stt11_page_0274_c07_141.png
