Codepoint,Character,kDefinition
U+8FE0,迠,made
U+8FE2,迢,far; distant
U+8FE3,迣,to leap over
U+8FE4,迤,wind; walk out of straight path
U+8FE5,迥,"distant, far; separated; different"
U+8FE6,迦,character for transliteration
U+8FE7,迧,a Chinese family name arrange; display a column of troops
U+8FE8,迨,"until, when; seize, arrest"
U+8FE9,迩,"be near, be close; recently"
U+8FEA,迪,"enlighten, advance; progress"
U+8FEB,迫,"coerce, force, compel; urgent"
U+8FEC,迬,"to walk along, to go"
U+8FED,迭,"repeatedly, frequently"
U+8FEE,迮,to rise; contracted; cramped
U+8FEF,迯,"escape, flee; abscond, dodge"
U+8FF0,述,"narrate, state, express"
U+8FF3,迳,"pass by, approach; direct"
U+8FF4,迴,"revolve, rotate; curving, zigzag"
U+8FF7,迷,"bewitch, charm, infatuate"
U+8FF8,迸,gush out; burst forth; split
U+8FF9,迹,"traces, impressions, footprints"
U+8FFA,迺,"then, thereupon, only then"
U+8FFB,迻,to shift; to transfer; to transform
U+8FFD,追,"pursue, chase after; expel"
U+8FFE,迾,(Cant.) row
U+8FFF,迿,to be the first to begin a quarrel
U+9000,退,"step back, retreat, withdraw"
U+9001,送,"see off, send off; dispatch, give"
U+9002,适,"go, reach; appropriate, suitable"
U+9003,逃,"escape, flee; abscond, dodge"
U+9004,逄,a surname
U+9005,逅,meet unexpectedly
U+9006,逆,"disobey, rebel; rebel, traitor"
U+9008,逈,"distant, far; separated; different"
U+9009,选,"choose, select; elect; election"
U+900A,逊,"humble, modest; yield"
U+900B,逋,"flee, run away, leave debt unsettled"
U+900C,逌,please; smiling; complacent
U+900D,逍,"ramble, stroll, jaunt, loiter"
U+900E,逎,"strong, unyielding, forceful"
U+900F,透,"penetrate, pass through"
U+9010,逐,"chase, expel; one by one"
U+9011,逑,"collect, unite; match, pair"
U+9012,递,"hand over, deliver; substitute"
U+9013,逓,"hand over, deliver; substitute"
U+9014,途,"way, road, path, journey; course"
U+9015,逕,"pass by, approach; direct"
U+9016,逖,"far, distant; keep at distance"
U+9017,逗,"tempt, allure, arouse, stir"
U+9019,這,"this, the, here"
U+901A,通,pass through; common; communicate
U+901B,逛,"ramble, stroll, roam, wander"
U+901D,逝,pass away; die
U+901E,逞,"indulge oneself; brag, show off"
U+901F,速,"quick, prompt, speedy"
U+9020,造,"construct, build, make, begin; prepare"
U+9021,逡,"retreat, withdraw, fall back"
U+9022,逢,"come upon, happen meet; flatter"
U+9023,連,"join, connect; continuous; even"
U+9025,逥,"return, turn around; a time"
U+9026,逦,"meandering, winding"
U+9029,逩,to run quickly
U+902C,逬,"to scatter; to expel; to crack, to split; to jump"
U+902D,逭,"to escape from; to flee, to avoid"
U+902E,逮,"seize, catch; reach, arrive"
U+902F,逯,leave without reason; surname
U+9030,逰,"wander, roam, travel"
U+9031,週,"week; turn, cycle; anniversary"
U+9032,進,"advance, make progress, enter"
U+9033,逳,"(Cant.) to move, touch, hit"
U+9034,逴,"argue, quarrel, squabble; far"
U+9035,逵,"thoroughfare, crossroads"
U+9036,逶,"winding, curving; swagger"
U+9037,逷,"distant, far away"
U+9038,逸,"flee, escape, break loose"
U+9039,逹,"arrive at, reach; intelligent"
U+903A,逺,"distant, remote, far; profound"
U+903B,逻,patrol; inspect; watch; patrol
U+903C,逼,"compel, pressure, force; bother"
U+903E,逾,"go over, pass over, exceed"
U+903F,逿,"a time; a row; to fall, miss"
U+9041,遁,"hide, conceal oneself; escape"
U+9042,遂,"comply with, follow along; thereupon"
U+9044,遄,to hurry; to go to and fro
U+9045,遅,"late, tardy; slow; delay"
U+9047,遇,"meet, come across, encounter"
U+9049,遉,"spy, reconnoiter; detective"
U+904A,遊,"wander, roam, travel"
U+904B,運,"luck, fortune; ship, transport"
U+904D,遍,"everywhere, all over, throughout"
U+904E,過,"pass, pass through, go across"
U+904F,遏,"stop, suppress, curb, check; a bar"
U+9050,遐,"afar, distant; old, advanced in"
U+9051,遑,"leisure, leisurely; hurry about"
U+9052,遒,"strong, unyielding, forceful"
U+9053,道,"path, road, street; method, way"
U+9054,達,"arrive at, reach; intelligent"
U+9055,違,"disobey, violate, defy; be apart from"
U+9057,遗,lose; articles lost; omit
U+9058,遘,to meet; to come across
U+9059,遙,"far away, distant, remote"
U+905B,遛,"take walk, stroll"
U+905C,遜,"humble, modest; yield"
U+905D,遝,"mixed, abundant, assorted"
U+905E,遞,"hand over, deliver; substitute"
U+905F,遟,"late, tardy; slow; delay"
U+9060,遠,"distant, remote, far; profound"
U+9061,遡,go upstream; trace source; formerly
U+9062,遢,"careless, negligent, slipshod"
U+9063,遣,"send, dispatch; send off, exile"
U+9065,遥,"far away, distant, remote"
U+9068,遨,"ramble, roam; travel for pleasure"
U+9069,適,"match, comfortable; just"
U+906B,遫,speed
U+906D,遭,"come across, meet with, encounter"
U+906E,遮,"cover, shield, protect"
U+906F,遯,"deceive, hide, conceal; flee; hexagram ䷠"
U+9070,遰,grunting sound of pigs; clash
U+9072,遲,"late, tardy; slow; delay"
U+9074,遴,"select, choose; surname"
U+9075,遵,"obey, comply with, follow; honor"
U+9076,遶,entwine; wind around; surround
U+9077,遷,"move, shift, change; transfer"
U+9078,選,"choose, select; elect; election"
U+9079,遹,"comply with, obey; shun, avoid"
U+907A,遺,lose; articles lost; omit
U+907B,遻,meet
U+907C,遼,"distant, far"
U+907D,遽,"suddenly, unexpectedly; at once"
U+907F,避,avoid; turn aside; escape; hide
U+9080,邀,"invite, welcome; meet, intercept"
U+9081,邁,take a big stride; pass by
U+9082,邂,unexpected meeting; encounter by
U+9083,邃,"profound, detailed; deep"
U+9084,還,"still, yet, also, besides"
U+9085,邅,"hesitant, faltering"
U+9087,邇,"be near, be close; recently"
U+9088,邈,"far, distant, remote; slight"
U+9089,邉,"edge, margin, side, border"
U+908A,邊,"edge, margin, side, border"
U+908B,邋,rags
U+908C,邌,to walk slowly; to parade
U+908F,邏,patrol; inspect; watch
U+9090,邐,"meandering, winding"
U+9091,邑,area; district; city; state; Kangxi radical 163
U+9093,邓,surname
U+9095,邕,former or literary name for Nanning (in Guangxi)
U+9097,邗,an ancient place in the state of Wu
U+9098,邘,state in Henan province
U+9099,邙,mountain in Henan province
U+909B,邛,in distress; a mound
U+909D,邝,surname
U+90A0,邠,county in Shaanxi province
U+90A1,邡,name of a district in Sichuan
U+90A2,邢,surname; state in today's Hebei
U+90A3,那,"that, that one, those"
U+90A6,邦,"nation, country, state"
U+90A7,邧,town in Shanxi province
U+90A8,邨,"village, hamlet; rustic"
U+90AA,邪,"wrong, evil, depraved, vicious, perverse, heterodox"
U+90AC,邬,various place names; surname
U+90AE,邮,"postal, mail; post office"
U+90AF,邯,city in Hebei province
U+90B0,邰,surname; state in modern Shanxi
U+90B1,邱,surname; hill; mound; grave
U+90B2,邲,ancient name of a place in Henan
U+90B3,邳,"a department in the state of Lu, modern Shandong"
U+90B4,邴,"name of a city in the ancient state of Song, in what is now Shandong; pleased"
U+90B5,邵,surname; various place names
U+90B6,邶,place in today's Henan province
U+90B8,邸,"official residence, residence of"
U+90B9,邹,name of an ancient state; surname
U+90BA,邺,place in today's Henan province
U+90BB,邻,neighbor; neighborhood
U+90BD,邽,name of a place in Shaanxi province
U+90BE,邾,a feudal state which existed B.C.700-469; now in Shandong
U+90BF,邿,a Zhou-dynasty state in modern Shandong province
U+90C1,郁,"sweet smelling, rich in aroma; (Cant.) to move, hit"
U+90C3,郃,county in Shanxi province
U+90C4,郄,surname
U+90C5,郅,to go up to; flourishing; a superlative
U+90C7,郇,an ancient feudal State in Shaanxi
U+90C8,郈,place in Shandong province
U+90C9,郉,surname; place name
U+90CA,郊,"suburbs; waste land, open spaces"
U+90CC,郌,name of an ancient county in modern Gansu/Shaanxi area.
U+90CE,郎,"gentleman, young man; husband"
U+90CF,郏,county in Henan province; surname
U+90D0,郐,state in today's Henan province
U+90D1,郑,state in today's Henan; surname
U+90D3,郓,surname; an ancient town's name
U+90D4,郔,place name in Shandong province
U+90D5,郕,state in Shandong province
U+90D7,郗,surname
U+90D9,郙,to be exiled; delay payment for
U+90DA,郚,towns in Shandong province
U+90DB,郛,outer walls of city; suburbs
U+90DC,郜,surname
U+90DD,郝,surname; place in modern Shanxi
U+90DE,郞,gentleman
U+90DF,郟,county in Henan province; surname
U+90E0,郠,place in Shandong province
U+90E1,郡,administrative division
U+90E2,郢,ancient city in Hubei
U+90E4,郤,"crack, opening; surname"
U+90E6,郦,place in today's Henan province
U+90E7,郧,county in Hubei province
U+90E8,部,"part, division, section"
U+90EA,郪,name of a stream in Sichuan province
U+90EB,郫,a county in Sichuan
U+90ED,郭,outer part (of a city); surname
U+90EF,郯,a county in Shandong
U+90F0,郰,"birthplace of Confucius, a place in Shandong"
U+90F3,郳,state in Shandong province
U+90F4,郴,county in Hunan province; surname
U+90F5,郵,"postal, mail; post office"
U+90F7,郷,country; rural; village
U+90F8,郸,county in Hebei province
U+90FD,都,"metropolis, capital; all, the whole; elegant, refined"
U+90FE,郾,county in Henan province
U+90FF,郿,county in Shaanxi province
U+9100,鄀,state in Henan province
U+9102,鄂,Hubei province; startled
U+9104,鄄,a county in Shandong
U+9106,鄆,surname; an ancient town's name
U+9107,鄇,a name of a town in Henan province
U+9108,鄈,"slippers, sandals; dance shoes"
U+9109,鄉,country; rural; village
U+910B,鄋,a Chunqiu-era state in modern Shandong
U+910C,鄌,a place in Shandong
U+910D,鄍,a town in Shandong province
U+910E,鄎,a place in Henan province
U+910F,鄏,place in Henan province
U+9110,鄐,town in Henan province
U+9111,鄑,kick; place in Shandong province
U+9112,鄒,a Zhou-dynasty state in modern Shandong
U+9114,鄔,various place names; surname; transliteration of Sanskrit 'u'
U+9115,鄕,country; rural; village
U+9116,鄖,county in Hubei province
U+9117,鄗,county in Hebei province
U+9118,鄘,state in Henan province
U+9119,鄙,mean; low
U+911A,鄚,place in today's Hebei province
U+911C,鄜,county in Shanxi province
U+911E,鄞,county in Zhejiang province
U+9120,鄠,county in Shanxi province
U+9122,鄢,name of a district in Honan
U+9123,鄣,"name of an ancient city in N. Jiangsu, near Shandong"
U+9124,鄤,place in Henan province
U+9127,鄧,a county in Henan; surname
U+9129,鄩,county in Shandong province
U+912B,鄫,state in today's Shandong province
U+912C,鄬,place in Henan province
U+912D,鄭,state in today's Henan; surname
U+912F,鄯,district in Gansu during the Tang dynasty
U+9130,鄰,neighbor; neighborhood
U+9131,鄱,county and lake in Jiangxi
U+9132,鄲,county in Hebei province
U+9134,鄴,ancient place in modern Hebei province
U+9136,鄶,state in today's Henan province
U+9139,鄹,name of an ancient state in modern Shandong; surname
U+913A,鄺,surname
U+913B,鄻,"spoil, ruin"
U+913E,鄾,place in Hubei province
U+913F,鄿,county in Xinjiang province
U+9142,酂,collect; small administration
U+9143,酃,a county in Hunan
U+9145,酅,raise feet; town in Shandong province
U+9146,酆,Zhou-era state in modern Sichuan
U+9147,酇,collect; small administration
U+9148,酈,place in today's Henan province; surname
U+9149,酉,a wine vessel; tenth earthly branch; Kangxi radical 164
U+914A,酊,"drunk, intoxicated"
U+914B,酋,"chief of tribe, chieftain"
U+914C,酌,serve wine; feast; deliberate
U+914D,配,"match, pair; equal; blend"
U+914E,酎,"double-fermented wine, vintage wine"
U+914F,酏,millet wine
U+9150,酐,anhydride
U+9152,酒,"wine, spirits, liquor, alcoholic beverage"
U+9154,酔,"intoxicated, drunk; addicted to"
U+9155,酕,drunk
U+9156,酖,wine with bird poison added
U+9157,酗,"drunk, to become violent under the influence of alcohol"
U+915A,酚,carbolic acid; phenol
U+915D,酝,"liquor, spirits, wine; ferment"
U+915E,酞,phthalein
U+9161,酡,flushed; rubicund
U+9162,酢,toast one's host with wine; to express juice by pressing
U+9163,酣,enjoy intoxicants
U+9164,酤,to deal in spirits
U+9165,酥,"butter; flaky, crispy, light, fluffy"
U+9166,酦,"fermentation, brewing"
U+9167,酧,to pledge with wine
U+9169,酩,drunk; intoxicated; tipsy
U+916A,酪,"cream, cheese; koumiss"
U+916C,酬,"toast; reward, recompense"
U+916E,酮,ketones
U+916F,酯,ester
U+9170,酰,acyl
U+9171,酱,any jam-like or paste-like food
U+9172,酲,hangover; uncomfortable
U+9174,酴,"leaven, yeast; wine"
U+9175,酵,"yeast, leaven"
U+9176,酶,enzymes; (Cant.) soft
U+9177,酷,"strong, stimulating; very"
U+9178,酸,"tart, sour; acid; stiff; spoiled"
U+9179,酹,to pour out a libation; to sprinkle
U+917A,酺,drink with others; drink heavily
U+917D,酽,"thick, strong (beverage)"
U+917E,酾,strain
U+917F,酿,"brew, ferment"
U+9181,醁,a kind of green-colored wine
U+9182,醂,to remove astringency; to bleach in water
U+9183,醃,"marinate, pickle; salt"
U+9184,醄,drunk
U+9185,醅,unstrained spirits
U+9186,醆,wine cup; muddy wine
U+9187,醇,"rich, good as wine; pure, unmixed"
U+9189,醉,"intoxicated, drunk; addicted to"
U+918A,醊,to pour wine in a libation
U+918B,醋,"vinegar; jealousy, envy"
U+918C,醌,quinone
U+918D,醍,essential oil of butter
U+9190,醐,purest cream
U+9191,醑,to strain spirits
U+9192,醒,wake up; sober up; startle
U+9193,醓,salted meat; brine from pickled mince
U+9196,醖,liquor
U+9197,醗,to brew for the second time
U+919A,醚,ether
U+919B,醛,aldehyde
U+919C,醜,"ugly looking, homely; disgraceful"
U+919D,醝,white wine
U+919E,醞,"liquor, spirits, wine; ferment"
U+91A1,醡,wine press
U+91A2,醢,minced pickled meat; mince
U+91A3,醣,carbohydrates
U+91A4,醤,any jam-like or paste-like food
U+91A8,醨,dregs of wine
U+91A9,醩,"sediment, dregs; grains from a distillery; disordered, spoilt"
U+91AA,醪,"unclear wine, wine with dregs"
U+91AB,醫,"medicine; to cure, heal; physician"
U+91AC,醬,any jam-like or paste-like food
U+91AD,醭,molds on liquids; scum
U+91AE,醮,religious service; Daoist or Buddhist ceremony
U+91AF,醯,vinegar; pickle; acid
U+91B0,醰,bitter taste in wine; rich; full flavoured
U+91B1,醱,to brew for the second time
U+91B2,醲,"strong wine; dense, thick"
U+91B4,醴,sweet wine; sweet spring
U+91B5,醵,contribute for drinks; pool money
U+91B8,醸,"brew, ferment"
U+91B9,醹,strong wine
U+91BA,醺,"get drunk, be intoxicated"
U+91BB,醻,"to pledge, thank"
U+91BC,醼,offer food and wine one's guests
U+91BD,醽,kind of wine
U+91BE,醾,a kind of liquor
U+91BF,醿,a kind of liquor
U+91C0,釀,"brew, ferment"
U+91C1,釁,"smear with blood in sacrifice; rift, quarrel"
U+91C2,釂,drain
U+91C3,釃,strain
U+91C4,釄,wine brewed for a second time
U+91C5,釅,"thick, strong (beverage)"
U+91C6,釆,distinguish; Kangxi radical 165
U+91C7,采,"collect, gather; pick, pluck"
U+91C8,釈,"interpret, elucidate; release"
U+91C9,釉,glaze
U+91CA,释,"interpret, elucidate; release"
U+91CB,釋,"interpret, elucidate; release"
U+91CC,里,unit of distance; village; lane; Kangxi radical 166
U+91CD,重,"heavy, weighty; double"
U+91CE,野,"open country, field; wilderness"
U+91CF,量,"measure, quantity, capacity"
U+91D0,釐,"manage, control; thousandth part of tael"
U+91D1,金,gold; metals in general; money; Kangxi radical 167
U+91D2,釒,Kangxi radical 167
U+91D3,釓,"gadolinium (element 64, Gd)"
U+91D4,釔,"yttrium (element 39, Y)"
U+91D5,釕,"ruthenium (element 44, Ru)"
U+91D6,釖,"knife, sword"
U+91D7,釗,"endeavor, strive; encourage; cut"
U+91D8,釘,"nail, spike; pursue closely"
U+91D9,釙,"polonium (element 84, Po)"
U+91DC,釜,"cauldron, pot, kettle"
U+91DD,針,needle; pin; tack; acupuncture
U+91E1,釡,"cauldron, pot, kettle"
U+91E3,釣,"fish; fishhook; tempt, lure"
U+91E4,釤,"samarium (element 62, Sm); to swing a sickle to cut (grass or wheat)"
U+91E6,釦,"button; buckle, clasp; engrave"
U+91E7,釧,"bracelet, armlet"
U+91E9,釩,"vanadium (element 23, V)"
U+91EA,釪,an alms bowl; a small bell
U+91EC,釬,"weld, solder"
U+91ED,釭,tire of wheel; band
U+91EF,釯,point of sword; sharp point
U+91F1,釱,fetters; to fetter
U+91F5,釵,ornamental hairpin
U+91F7,釷,thorium (Th)
U+91F9,釹,neodymium (Nd)
U+91FA,釺,tool for boring holes
U+91FC,釼,"sword, dagger, saber"
U+91FD,釽,a farmer's hoeing fork
U+91FE,釾,obsolete name of einsteinium (Es)
U+91FF,釿,"hew, chop, smooth"
U+9200,鈀,palladium (Pd)
U+9201,鈁,francium (Fr)
U+9203,鈃,ancient wine vessel
U+9204,鈄,a wine flagon
U+9206,鈆,lead
U+9207,鈇,an ax; a hatchet
U+9208,鈈,plutonium (Pu)
U+9209,鈉,sodium (Na); sharpen wood
U+920A,鈊,"gadolinium (element 64, Gd)"
U+920C,鈌,"to pierce, to stab; to take"
U+920D,鈍,"blunt, obtuse; dull; flat; dull-witted"
U+920E,鈎,"hook, barb; sickle; stroke with"
U+9210,鈐,"lock, latch; stamp, seal"
U+9211,鈑,plate
U+9212,鈒,"spear; (Cant.) to cut, slice; grass-shears"
U+9214,鈔,"paper money, bank notes; copy"
U+9215,鈕,"button, knob; surname"
U+921A,鈚,an ancient type of arrow
U+921E,鈞,unit of measure equivalent to thirty catties
U+9223,鈣,calcium (Ca)
U+9225,鈥,holmium (Ho)
U+9226,鈦,titanium (Ti)
U+9227,鈧,scandium (Sc)
U+9229,鈩,"fireplace, stove, oven, furnace"
U+922A,鈪,(Cant.) bracelet; bangle
U+922C,鈬,bell; surname
U+922E,鈮,niobium (Nb)
U+9230,鈰,"cerium (element 58, Ce)"
U+9233,鈳,a small cauldron; columbium (an older name for niobium)
U+9234,鈴,bell
U+9237,鈷,cobalt (Co)
U+9238,鈸,cymbals
U+9239,鈹,"a needle used in Chinese medicine; a sword, large knife; beryllium (Be)"
U+923A,鈺,rare treasure
U+923D,鈽,"plutonium (element 94, Pu)"
U+923E,鈾,uranium (U)
U+923F,鈿,"hairpin; gold inlaid work, filigree"
U+9240,鉀,potassium (K)
U+9244,鉄,"iron; strong, solid, firm"
U+9245,鉅,"steel, iron; great"
U+9246,鉆,tweezers
U+9248,鉈,"a short spear; thallium (element 81, Tl)"
U+9249,鉉,device for carrying a tripod
U+924B,鉋,carpenter's plane
U+924C,鉌,the bells on the cart in ancient China
U+924D,鉍,bismuth (Bi)
U+924E,鉎,(Cant.) to rust
U+924F,鉏,"hoe; eradicate, eliminate"
U+9251,鉑,platinum (Pt); thin sheet of metal
U+9255,鉕,"promethium (element 145, Pm)"
U+9257,鉗,"pincers, pliers, tongs"
U+925A,鉚,rivet
U+925B,鉛,"lead (element 82, Pb)"
U+925E,鉞,"broad-axe, a battle axe, halberd"
U+9262,鉢,earthenware basin; alms bowl (Sanskrit paatra)
U+9264,鉤,"hook, barb; sickle; stroke with"
U+9265,鉥,needle
U+9266,鉦,kind of gong used in ancient times by troops on the march
U+9268,鉨,[nǐ] Nihonium (Nh); silk string; [niè] (same as 鑷) tweezers; [xǐ] (same as 鉩) a seal
U+926C,鉬,"molybdenum (element 42, Mo)"
U+926D,鉭,"tantalum (element 73, Ta)"
U+9271,鉱,"mine; mineral, ore"
U+9272,鉲,"cadmium (element 48, Cd)"
U+9274,鉴,"mirror, looking glass; reflect"
U+9276,鉶,sacrificial cauldron
U+9277,鉷,trigger
U+9278,鉸,"hinge; shears, scissors"
U+927A,鉺,"erbium (element 68, Er)"
U+927B,鉻,"chromium (element 24, Cr)"
U+927C,鉼,plate; (Cant.) a penny
U+927E,鉾,spear
U+927F,鉿,"hafnium (element 72, Hf)"
U+9280,銀,"silver (element 47, Ag); cash, money, wealth"
U+9281,銁,a weight of thirty catties
U+9283,銃,"ancient weapon, blunderbuss"
U+9285,銅,"copper (element 29, Cu); brass, bronze"
U+928D,銍,a sickle
U+928E,銎,eyehole to hang an axe by
U+9291,銑,mill
U+9292,銒,ancient wine vessel
U+9293,銓,"weigh, measure; select officials"
U+9295,銕,"iron; strong, solid, firm"
U+9296,銖,"unit of weight, one twenty-fourth of a Chinese ounce (liang)"
U+9298,銘,"inscribe, engrave; unforgettably"
U+929A,銚,large hoe; surname; a spear
U+929B,銛,"sharp, keen-edged; a kind of hoe"
U+929C,銜,"bit; hold in mouth, bite; gag"
U+92A0,銠,"rhodium (element 45, Rh)"
U+92A3,銣,"rubidium (element 37, Rb)"
U+92A5,銥,"iridium (element 77, Ir)"
U+92A6,銦,"indium (element 49, In)"
U+92A7,銧,point of a sword
U+92A8,銨,ammonium
U+92A9,銩,"thulium (element 69, Tm)"
U+92AA,銪,"europium (element 63, Eu)"
U+92AB,銫,"caesium/cesium (element 55, Cs)"
U+92AC,銬,"shackles, manacle"
U+92AD,銭,"money, currency, coins"
U+92AE,銮,bells hung on horse; bells hung
U+92B1,銱,hasp and staple
U+92B2,銲,"solder, weld; leg armor, greaves"
U+92B3,銳,"sharp, keen, acute, pointed"
U+92B6,銶,chisel
U+92B7,銷,"melt, fuse; market, sell; to pass time, finish, cancel"
U+92B9,銹,"rust, corrode"
U+92BB,銻,"antimony (element 51, Sb)"
U+92BC,銼,"carpenter's file, file smooth"
U+92BE,銾,"mercury (element 80, Hg)"
U+92C2,鋂,bit cup
U+92C3,鋃,lock
U+92C5,鋅,"zinc (element 30, Zn)"
U+92C6,鋆,gold; character used in personal name
U+92C7,鋇,"barium (element 56, Ba)"
U+92C8,鋈,silver plating
U+92CA,鋊,a poker; brass filings; to file
U+92CB,鋋,"short, iron-handled spear"
U+92CC,鋌,"ingots, bars of metal; hurry"
U+92CF,鋏,"tongs, pincers; dagger; sword"
U+92D0,鋐,state in today's Hubei province
U+92D1,鋑,"to engrave or carve, as a block for printing"
U+92D2,鋒,"point of spear, sharp point"
U+92D5,鋕,engrave
U+92D7,鋗,a small basin; rings on a cart of carriage
U+92D8,鋘,sword
U+92D9,鋙,misfit; discordant; musical instrument; hoe
U+92DA,鋚,iron; bronze decoration on bridle
U+92DC,鋜,"fetters, shackles"
U+92DD,鋝,ancient unit of measure equal to 6 taels (about 300 grams)
U+92DF,鋟,carve
U+92E3,鋣,sword
U+92E4,鋤,hoe; eradicate
U+92E5,鋥,polish
U+92E6,鋦,"curium (element 96, Cm)"
U+92E7,鋧,small chisel
U+92E8,鋨,"an ancient name for iron; osmium (element 76, Os)"
U+92E9,鋩,point of a sword; sharp point
U+92EA,鋪,"spread out, arrange; shop, store; place to sleep, bed"
U+92EC,鋬,the part of the utensil that is held by the hand
U+92ED,鋭,sharp
U+92EE,鋮,person's name
U+92EF,鋯,"zirconium (element 40, Zr)"
U+92F0,鋰,"lithium (element 3, Li)"
U+92F1,鋱,"terbium (element 65, Tb)"
U+92F2,鋲,rivet
U+92F3,鋳,"melt, cast; coin, mint"
U+92F6,鋶,"matte, a crude mixture of sulfides formed in smelting sulfide ores"
U+92F8,鋸,a saw; to saw; amputate
U+92F9,鋹,sharp; a keen edge; sharp point
U+92FA,鋺,a metal bowl
U+92FC,鋼,"steel; hard, strong, tough"
U+9301,錁,ingot; acrobatic move
U+9304,錄,"copy, write down, record"
U+9306,錆,the color of a mineral
U+9307,錇,"berkelium (element 97, Bk)"
U+9308,錈,to bend iron
U+930F,錏,soft steel; ammonium
U+9310,錐,"gimlet, awl, drill, auger; bore"
U+9312,錒,"actinium (element 89, Ac)"
U+9314,錔,cap
U+9315,錕,ancient treasured sword
U+9318,錘,balance weight on scale; hammer
U+9319,錙,an ancient unit of weight (one-eighth of a tael)
U+931A,錚,clanging sound; small gong
U+931B,錛,"adz, adze"
U+931E,錞,instrument
U+931F,錟,long spear
U+9320,錠,"spindle, slab, cake, tablet"
U+9321,錡,a kind of pen; a kind of chisel
U+9322,錢,"money, currency, coins"
U+9323,錣,armor neckplates
U+9324,錤,hoe
U+9326,錦,"brocade, tapestry; embroidered"
U+9328,錨,anchor
U+9329,錩,vessel
U+932B,錫,"tin (element 50, Sn); bestow, confer"
U+932C,錬,smelt metals
U+932E,錮,run metal into cracks; confine
U+932F,錯,"error, blunder, mistake, wrong"
U+9332,録,copy
U+9333,錳,"manganese (element 25, Mn)"
U+9336,錶,"a watch, clock"
U+9338,錸,"rhenium (element 75, Re)"
U+933A,錺,metal jewelry
U+933B,錻,a tin plate
U+933C,錼,"neptunium (element 93, Np)"
U+933E,錾,"engraving tool, chisel"
U+9340,鍀,"technetium (element 43, Tc)"
U+9341,鍁,shovel
U+9343,鍃,a kind of tool
U+9346,鍆,"mendelevium (element 101, Md)"
U+9347,鍇,high quality iron
U+9349,鍉,"spoon, key"
U+934A,鍊,"smelt metals, forge; refine"
U+934B,鍋,"cooking-pot, saucepan"
U+934D,鍍,"plate, coat, gild"
U+9350,鍐,"a headstall, ornament on a bride"
U+9354,鍔,"high, lofty; edge of knife"
U+9358,鍘,sickle for cutting grass or hay
U+935A,鍚,frontlet
U+935B,鍛,"forge metal; temper, refine"
U+935C,鍜,"to forge, work"
U+935F,鍟,(Cant.) rust
U+9360,鍠,weapon
U+9364,鍤,"spade, shovel; marking pin"
U+9365,鍥,"sickle; cut, carve, engrave"
U+9369,鍩,"nobelium (element 102, No)"
U+936A,鍪,an iron pan; a metal cap
U+936B,鍫,shovel
U+936C,鍬,shovel
U+936D,鍭,arrow
U+936E,鍮,brass
U+9370,鍰,"measure; money, coins"
U+9371,鍱,thin plates of metal
U+9375,鍵,"door bolt, lock bolt; key"
U+9376,鍶,"strontium (element 38, Sr); an iron utensil"
U+9378,鍸,"food, gruel"
U+937A,鍺,"germanium (element 32, Ge); metal flashing on the axle of a cart"
U+937C,鍼,"needle, pin, tack; prick; inject"
U+937E,鍾,"cup, glass, goblet; surname"
U+9382,鎂,"magnesium (element 12, Mg)"
U+9384,鎄,"einsteinium (element 99, Es)"
U+9385,鎅,(Cant.) to saw; to cut
U+9387,鎇,"americium (element 95, Am)"
U+9389,鎉,"thallium (element 81, Tl)"
U+938A,鎊,pound sterling; to scrape
U+938B,鎋,the linch-pin of a wheel to govern or control the noise of a barrow
U+938C,鎌,sickle
U+938D,鎍,chain; wire
U+938F,鎏,pure gold
U+9390,鎐,family name; wine cup
U+9392,鎒,to hoe; to weed
U+9394,鎔,"fuse, melt, smelt; mold"
U+9396,鎖,"lock, padlock; shackles, chains"
U+9397,鎗,"rifle, small arms, hand gun"
U+9398,鎘,"cadmium (element 48, Cd)"
U+9399,鎙,large spear; chess board
U+939A,鎚,"hammer, mallet; club"
U+939B,鎛,"large bell; hoe, spade"
U+939D,鎝,"(TC) technetium (element 43, Tc); engrave; tilling implement"
U+939E,鎞,"plowshare; barb, lancet"
U+93A1,鎡,hoe; mattock
U+93A2,鎢,"tungsten (element 74, W)"
U+93A3,鎣,polish
U+93A4,鎤,sound of a bell; small bell
U+93A6,鎦,"distil; (TC) lutetium (element 71, Lu); surname"
U+93A7,鎧,"armor, chain mail"
U+93A9,鎩,to spear
U+93AA,鎪,to engrave (metal or wood)
U+93AB,鎫,ornament over the horse's head
U+93AC,鎬,stove; bright
U+93AD,鎭,"town, market place; suppress"
U+93AE,鎮,"town, market place; suppress"
U+93AF,鎯,large hammer
U+93B0,鎰,"ancient of weight for gold, equal to 20 or 24 taels"
U+93B2,鎲,ancient weapon resembling a pitchfork
U+93B3,鎳,"nickel (element 28, Ni)"
U+93B5,鎵,"gallium (element 31, Ga)"
U+93B6,鎶,"copernicium (element 112, Cn)"
U+93B8,鎸,"engraving tool; carve, engrave"
U+93B9,鎹,a clamp
U+93BB,鎻,"lock, padlock; shackles, chains"
U+93BF,鎿,"(HK) neptunium (element 93, Np)"
U+93C1,鏁,"a lock, padlock; shackles, chains"
U+93C3,鏃,"arrowhead, barb; swift, quick"
U+93C7,鏇,lathe
U+93C8,鏈,"chain, wire, cable; chain, shack"
